date,nav,amfi_code,scheme_name
03-06-2026,15.92930,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
02-06-2026,15.94250,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
01-06-2026,15.93050,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
29-05-2026,15.95710,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
27-05-2026,15.99470,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
26-05-2026,15.98720,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
25-05-2026,16.00710,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
22-05-2026,15.92590,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
21-05-2026,15.90520,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
20-05-2026,15.91720,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
19-05-2026,15.90810,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
18-05-2026,15.88680,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
15-05-2026,15.93970,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
14-05-2026,15.96690,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
13-05-2026,15.93170,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
12-05-2026,15.92850,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
11-05-2026,15.98770,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
08-05-2026,16.05920,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
07-05-2026,16.11060,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
06-05-2026,16.10420,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
05-05-2026,16.00860,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
04-05-2026,16.03210,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
30-04-2026,16.01100,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
29-04-2026,16.04950,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
28-04-2026,16.04600,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
27-04-2026,16.07930,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
24-04-2026,16.02900,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
23-04-2026,16.08370,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
22-04-2026,16.13020,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
21-04-2026,16.17030,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
20-04-2026,16.14230,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
17-04-2026,16.13060,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
16-04-2026,16.11310,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
15-04-2026,16.12270,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
13-04-2026,16.03250,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
10-04-2026,16.05490,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
09-04-2026,15.99610,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
08-04-2026,16.02080,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
07-04-2026,15.81260,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
06-04-2026,15.77290,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
02-04-2026,15.70430,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
31-03-2026,15.70450,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
30-03-2026,15.70240,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
27-03-2026,15.79030,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
25-03-2026,16.17610,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
24-03-2026,16.13440,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
23-03-2026,16.09180,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
20-03-2026,16.24430,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
18-03-2026,16.33560,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
17-03-2026,16.30730,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
16-03-2026,16.28760,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
13-03-2026,16.29500,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
12-03-2026,16.37530,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
11-03-2026,16.41390,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
10-03-2026,16.44400,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
09-03-2026,16.36140,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
06-03-2026,16.47030,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
05-03-2026,16.51710,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
04-03-2026,16.46740,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
02-03-2026,16.54270,119120,HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan
