amfi_code,alpha,beta
100016,3.747580763443281,-0.058268431438808936
100025,4.281792031506088,0.0011582183155281448
100033,27.19535450128533,0.005103525830528331
101206,21.399784776051213,0.021086316250128
101207,10.897091901704538,-0.06528924788351526
101208,6.086145795787115,0.00026670968338238335
102885,17.048756803412697,-0.01948678568947455
102886,2.8969397866379443,-0.042125029021894314
102887,16.211256794033254,0.016682689437770872
118632,21.829397904608644,-0.00835383212696199
118633,15.643835948169668,-0.036639006718609354
118634,17.50072167561127,0.10349663691337586
118635,15.136354648239239,-0.0014335213897800994
118636,5.074772999976104,0.0012566742731558616
119092,6.899529821677549,0.009730745001153633
119093,8.232801295222094,0.02588321244009314
119094,26.07666908004223,-0.06626542862803761
119095,4.801595363775955,-0.06695117463929204
119120,5.620895216638369,-0.006413850728276465
119551,23.201007160635083,-0.03175144113890974
119552,19.86859936686296,-0.026159307513513426
119598,30.336965386983323,-0.0231960620440597
119599,4.882421594553985,0.06200180438267164
120503,17.703302365844074,-0.0402689523698206
120504,21.19482701352573,0.01623216976141699
120505,29.26358334175106,0.000549004250631702
120506,16.25385327998104,0.041896462728119754
120507,6.746210411099539,-0.0004440926329707226
120841,13.042924450705446,0.036356399022199816
120842,7.80443887615508,0.01805687420811815
120843,27.330465038306055,-0.02282956979242657
120844,6.4556774953759986,-0.00040074423947840073
125497,17.729754927531765,0.04882040425957739
125498,11.98910097121797,0.009054412621739153
148567,26.98375144191807,0.023683558075848626
148568,20.873010086942337,-0.02638771994384302
148569,28.27036785246582,0.01813388408385922
149322,13.173190226099432,-0.004050271130006517
149323,26.598577542043046,-0.002523004664699259
149324,30.05787817097677,0.01145515996052072
